,importance
home_ev_shots_on_goal_for_per60_last20,0.08343181
home_ev_shots_on_goal_for_per60_season_avg,0.042128615
home_ev_shots_on_goal_for_per60_cumulative_season,0.03902261
home_ev_shots_on_goal_for_per60_last30,0.03183118
away_total_shots_on_goal_against_last20,0.030806014
away_ev_shots_on_goal_against_per60_last30,0.022540037
away_ev_shots_on_goal_against_opp_adj_last30,0.020620238
home_ev_shots_on_goal_for_per60_last10,0.020471713
home_total_shots_on_goal_for_season_avg,0.018846136
away_ev_shots_on_goal_against_last20,0.01833928
home_total_shots_on_goal_for_last30,0.016858835
away_total_shots_on_goal_against_last30,0.016790524
away_ev_shots_on_goal_against_season_avg,0.015427609
away_total_shot_attempts_for_last30,0.015165012
away_ev_shots_on_goal_against_last10,0.014315789
away_ev_shots_on_goal_against_last30,0.013348953
home_won_last20,0.013111365
away_ev_shots_on_goal_against_per60_last10,0.013030563
home_weighted_ev_sog_fenwick_rate_for,0.012853749
away_ev_hits_against_per60_last30,0.012589594
home_ev_shots_on_goal_for_last30,0.012123038
away_pp_shots_on_goal_for_last30,0.012081739
home_weighted_ev_xg_per_sog_for,0.012046179
home_total_shots_on_goal_for_last10,0.011849093
away_ev_shots_on_goal_against_per60_last20,0.011703703
home_weighted_sh_block_rate_for,0.011606093
away_ev_shots_on_goal_against_opp_adj_last20,0.011487426
away_ev_hits_against_last30,0.01137129
away_ev_hits_against_per60_season_avg,0.011118939
away_ev_goals_against_per60_last30,0.010202108
home_ev_goals_for_per60_cumulative_season,0.010118355
home_total_shots_on_goal_for_last20,0.010098797
away_ev_shot_attempts_for_per60_last30,0.009868178
home_ev_missed_shots_against_last30,0.009770253
home_weighted_sh_fenwick_rate_for,0.009575489
home_en_toi_season_avg,0.009492923
home_total_shots_on_goal_against_last10,0.0094765825
away_total_shot_attempts_for_last20,0.00938951
home_ev_hits_against_last30,0.009346741
away_ev_fenwick_rate_for_last30,0.009282573
home_ev_sog_fenwick_rate_for_last30,0.009139619
home_weighted_sh_save_pct_team,0.008988917
away_ev_shot_attempts_against_last20,0.008902629
home_ev_minor_penalties_taken_last20,0.008883405
away_sh_shot_attempts_against_per60_season_avg,0.008849379
away_total_shot_attempts_for_last10,0.008779362
away_ev_shot_attempts_against_per60_last10,0.008622067
home_sh_shot_attempts_for_last20,0.00855925
away_total_shots_on_goal_against_last10,0.008552676
home_ev_toi_last10,0.008537052
home_weighted_ev_sog_fenwick_rate_against,0.008494148
away_pp_sog_fenwick_rate_for_season_avg,0.0084868865
away_weighted_pp_shooting_pct,0.008471865
away_ev_fenwick_rate_for_season_avg,0.008442584
away_pp_goals_for_per60_last10,0.008401283
home_pp_fenwick_rate_against_last30,0.008215842
away_pp_shooting_pct_last20,0.0081627285
home_weighted_pp_shooting_pct,0.008144286
home_ev_shot_attempts_against_opp_adj_last10,0.007904885
away_pp_shots_on_goal_against_per60_season_avg,0.007827729
away_pp_hits_against_per60_season_avg,0.0077753277
home_sh_shots_on_goal_against_last30,0.0077457833
home_sh_takeaways_per60_last10,0.0076760305
away_total_shot_attempts_against_last20,0.007673346
away_pp_toi_last10,0.0076676337
away_ev_toi_last20,0.0076388675
away_ev_shots_on_goal_for_per60_last30,0.0074979896
home_ev_faceoffs_won_season_avg,0.0074791806
away_won_last30,0.0074679684
away_ev_sog_fenwick_rate_against_last10,0.007424111
away_pp_shooting_pct_last30,0.007395688
home_sh_goals_for_per60_last20,0.0072904457
home_pp_goals_against_per60_last10,0.0072273468
away_sh_blocked_shots_for_season_avg,0.0071921763
away_ev_hits_against_per60_last10,0.0071043735
home_goals_for_season_avg,0.007004375
home_ev_hits_against_per60_last20,0.007001695
home_sh_minor_penalties_drawn_season_avg,0.0069914977
away_sh_giveaways_per60_season_avg,0.0065132035
away_ev_fenwick_rate_for_last20,0.006327725
