team,games,mae,bias,actual_avg,pred_avg
COL,65,5.101347556480994,-1.7715916266808143,27.138461538461538,25.36687
ANA,67,5.34130156218116,-1.386441387347321,24.134328358208954,22.747887
CBJ,66,4.437621434529622,-1.2118964339747573,24.666666666666668,23.454771
NJD,66,4.393715020382043,-0.6313237276944247,23.560606060606062,22.929283
CAR,66,4.403050942854448,-0.4476488575790868,26.106060606060606,25.658413
PIT,66,4.691487890301329,-0.44109462969230884,23.227272727272727,22.786177
EDM,68,4.3969676354352165,-0.4183066592496984,23.926470588235293,23.508163
BUF,67,4.352911251694409,-0.1886936586294601,22.71641791044776,22.527725
BOS,66,4.745550126740427,0.0922527602224639,21.848484848484848,21.940737
OTT,66,3.9065247160015684,0.17734787680886008,22.681818181818183,22.859165
CGY,66,4.79500776348692,0.20665925921815814,23.28787878787879,23.494537
MIN,68,4.771922616397633,0.4089212417602539,22.764705882352942,23.173628
VGK,67,3.9596616830398785,0.5503185329152577,23.059701492537314,23.61002
DET,67,4.482669972661716,0.5512928464519444,22.507462686567163,23.058756
WSH,68,4.126394496244543,0.5544145808500403,22.823529411764707,23.377945
LAK,66,4.617516228646943,0.5931368452129941,22.12121212121212,22.714348
NYI,67,3.8852054254332584,0.6080228606266762,22.104477611940297,22.712502
NSH,66,3.8513755509347627,0.6933470928307736,22.106060606060606,22.799408
TOR,68,3.802237903370577,0.7704360625323128,21.823529411764707,22.593966
UTA,67,4.500113416073927,0.9566234759430388,22.492537313432837,23.44916
TBL,65,4.451815502460186,1.0172973045935998,21.76923076923077,22.786528
FLA,66,4.278167753508597,1.2724031101573596,21.59090909090909,22.863312
SJS,65,3.707296840961163,1.3326555985670823,19.76923076923077,21.101885
STL,67,4.791071777913108,1.3847694823991006,20.746268656716417,22.131039
MTL,66,4.511271418947162,1.532697648713083,21.196969696969695,22.729668
WPG,66,4.408215262673118,1.649239222208659,20.848484848484848,22.497723
CHI,66,4.328717549641927,1.894380049272017,19.90909090909091,21.80347
SEA,66,4.504988468054569,1.945848985151811,20.424242424242426,22.37009
NYR,66,4.385791200580019,1.9828614899606416,19.939393939393938,21.922256
VAN,66,4.229633938182484,2.0305936697757607,20.484848484848484,22.515442
DAL,66,4.311172196359346,2.139291589910334,20.424242424242426,22.563534
PHI,66,4.682563001459295,2.1942316980072945,19.636363636363637,21.830597
